MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2005,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,A6,Z,14.8,9.8,12.6,22,290,,
2005,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,AM6,Z,17.3,11.1,14.5,19,334,,
2005,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,M6,Z,17.4,11.1,14.6,19,336,,
2005,BMW,745i,FULL-SIZE,4.4,8,A6,Z,14.8,9.8,12.6,22,290,,
2005,BMW,745Li,FULL-SIZE,4.4,8,A6,Z,14.8,9.8,12.6,22,290,,
2005,BMW,760i,FULL-SIZE,6.0,12,A6,Z,17.6,11.2,14.7,19,338,,
2005,BMW,760Li,FULL-SIZE,6.0,12,A6,Z,17.6,11.2,14.7,19,338,,
2005,BMW,M3,SUBCOMPACT,3.2,6,AM6,Z,14.9,10.4,12.9,22,297,,
2005,BMW,M3,SUBCOMPACT,3.2,6,M6,Z,16.2,10.6,13.7,21,315,,
2005,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,AM6,Z,15.4,11.2,13.5,21,311,,
2005,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,M6,Z,16.6,11.1,14.1,20,324,,
2005,BMW,X3,SUV,2.5,6,A5,Z,15.7,10.9,13.5,21,311,,
2005,BMW,X3,SUV,2.5,6,M6,Z,15.2,10.5,13.1,22,301,,
2005,BMW,X3,SUV,3.0,6,A5,Z,16.5,11.0,14.0,20,322,,
2005,BMW,X3,SUV,3.0,6,M6,Z,15.4,10.4,13.2,21,304,,
2005,BMW,X5,SUV,3.0,6,A6,Z,16.6,12.2,14.6,19,336,,
2005,BMW,X5,SUV,3.0,6,M6,Z,17.7,11.9,15.1,19,347,,
2005,BMW,X5,SUV,4.4,8,A6,Z,16.5,11.7,14.3,20,329,,
2005,BMW,X5 4.8IS,SUV,4.8,8,A6,Z,16.4,11.9,14.4,20,331,,
2005,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,A5,Z,12.9,9.1,11.2,25,258,,
2005,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,AM6,Z,12.1,8.3,10.4,27,239,,
2005,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,M5,Z,13.2,9.3,11.4,25,262,,
2005,BMW,Z4 ROADSTER,TWO-SEATER,3.0,6,A5,Z,13.8,9.5,11.9,24,274,,
2005,BMW,Z4 ROADSTER,TWO-SEATER,3.0,6,AM6,Z,12.1,8.2,10.4,27,239,,
2005,BMW,Z4 ROADSTER,TWO-SEATER,3.0,6,M6,Z,12.9,8.8,11.0,26,253,,
2005,BUICK,ALLURE,MID-SIZE,3.6,6,A4,X,13.9,9.5,11.9,24,274,,
2005,BUICK,ALLURE,MID-SIZE,3.8,6,A4,X,13.4,8.7,11.3,25,260,,
2005,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,13.2,8.6,11.1,25,255,,
2005,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,13.4,8.7,11.3,25,260,,
2005,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,13.4,8.7,11.3,25,260,,
2005,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,15.0,9.7,12.6,22,290,,
2005,BUICK,RAINIER AWD,SUV,4.2,6,A4,X,17.3,12.5,15.1,19,347,,
2005,BUICK,RAINIER AWD,SUV,5.3,8,A4,X,18.2,13.4,16.0,18,368,,
2005,BUICK,RENDEZVOUS,SUV,3.4,6,A4,X,14.2,9.8,12.2,23,281,,
2005,BUICK,RENDEZVOUS,SUV,3.6,6,A4,X,14.4,9.6,12.2,23,281,,
2005,BUICK,RENDEZVOUS AWD,SUV,3.4,6,A4,X,14.3,10.3,12.5,23,288,,
2005,BUICK,RENDEZVOUS AWD,SUV,3.6,6,A4,X,14.9,10.2,12.8,22,294,,
2005,BUICK,TERRAZA,MINIVAN,3.5,6,A4,X,14.9,10.4,12.9,22,297,,
2005,BUICK,TERRAZA AWD,MINIVAN,3.5,6,A4,X,15.4,11.2,13.5,21,311,,
2005,CADILLAC,ARMORED DEVILLE,FULL-SIZE,4.6,8,A4,X,19.1,13.1,16.4,17,377,,
2005,CADILLAC,CTS,MID-SIZE,2.8,6,A5,X,14.7,9.6,12.4,23,285,,
2005,CADILLAC,CTS,MID-SIZE,2.8,6,M6,X,15.2,9.5,12.6,22,290,,
2005,CADILLAC,CTS,MID-SIZE,3.6,6,A5,X,15.0,9.4,12.5,23,288,,
2005,CADILLAC,CTS,MID-SIZE,3.6,6,M6,X,15.7,9.6,13.0,22,299,,
2005,CADILLAC,CTS,MID-SIZE,5.7,8,M6,Z,16.9,11.0,14.2,20,327,,
2005,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,X,14.9,9.7,12.6,22,290,,
2005,CADILLAC,ESCALADE AWD,SUV,6.0,8,A4,Z,21.9,17.3,19.8,14,455,,
2005,CADILLAC,ESCALADE ESV AWD,SUV,6.0,8,A4,Z,21.9,17.3,19.8,14,455,,
2005,CADILLAC,ESCALADE EXT AWD,PICKUP TRUCK - STANDARD,6.0,8,A4,Z,21.9,17.3,19.8,14,455,,
2005,CADILLAC,SRX,SUV,3.6,6,AS5,X,16.0,10.9,13.7,21,315,,
2005,CADILLAC,SRX,SUV,4.6,8,AS5,Z,17.3,11.1,14.5,19,334,,
2005,CADILLAC,SRX AWD,SUV,3.6,6,AS5,X,17.1,11.5,14.6,19,336,,
2005,CADILLAC,SRX AWD,SUV,4.6,8,AS5,Z,17.9,11.2,14.9,19,343,,
2005,CADILLAC,STS,MID-SIZE,3.6,6,AS5,X,15.9,10.4,13.4,21,308,,
2005,CADILLAC,STS,MID-SIZE,4.6,8,AS5,Z,15.9,10.2,13.3,21,306,,
2005,CADILLAC,STS AWD,MID-SIZE,4.6,8,AS5,Z,17.6,11.4,14.8,19,340,,
2005,CADILLAC,XLR,TWO-SEATER,4.6,8,AS5,Z,15.9,10.2,13.3,21,306,,
2005,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,16.4,12.1,14.5,19,334,,
2005,CHEVROLET,ASTRO CARGO AWD,VAN - CARGO,4.3,6,A4,X,19.1,14.7,17.2,16,396,,
2005,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,16.3,12.0,14.4,20,331,,
2005,CHEVROLET,ASTRO PASSENGER AWD,VAN - PASSENGER,4.3,6,A4,X,19.1,14.7,17.2,16,396,,
2005,CHEVROLET,AVEO,SUBCOMPACT,1.6,4,A4,X,10.3,7.6,9.1,31,209,,
2005,CHEVROLET,AVEO,SUBCOMPACT,1.6,4,M5,X,10.1,7.3,8.9,32,205,,
2005,CHEVROLET,BLAZER 4X4,SUV,4.3,6,A4,X,19.1,14.7,17.2,16,396,,
2005,CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,17.3,12.8,15.3,18,352,,
2005,CHEVROLET,C1500 AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.2,13.5,16.1,18,370,,
2005,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.1,13.3,15.9,18,366,,
2005,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,23.9,17.5,21.0,13,336,,
2005,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.4,12.1,14.5,19,334,,
2005,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,17.4,12.1,15.0,19,345,,
2005,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.0,12.2,14.3,20,329,,
2005,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,16.7,12.1,14.6,19,336,,
2005,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.7,12.5,14.8,19,340,,
2005,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,6.0,8,A4,Z,18.3,14.2,16.4,17,377,,
2005,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.5,12.1,14.5,19,334,,
