Model,Make,Model,Vehicle Class,Motor,Engine Size,Cylinders,Transmission,Fuel,Consumption,Range 1,Recharge,Fuel,Consumption,,,Range 2,CO2 Emissions,CO2,Smog
Year,,,,(kW),(L),,,Type 1,Combined Le/100 km,(km),Time (h),Type 2,City (L/100 km),Hwy (L/100 km),Comb (L/100 km),(km),(g/km),Rating,Rating
2019,Hyundai,IONIQ Electric Plus,Mid-size,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7
2019,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2.0,4,AM6,B/X*,2.4 ([20.9 kWh + 0.0 L]/100 km),45,2.7,X,6.3,5.6,6.0,925,62,10,7
2019,Karma,Revero,Subcompact,300,2.0,4,A1,B,3.9 (34.7 kWh/100 km),60,3.75,Z,11.8,11.2,11.5,328,94,10,1
2019,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7
2019,Kia,Optima Plug-in Hybrid,Mid-size,50,2.0,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,937,60,10,7
2019,Mercedes-Benz,GLC 350e 4MATIC,SUV: Small,85,2.0,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1.9,Z,9.8,8.6,9.3,541,146,9,7
2019,MINI,Cooper SE Countryman ALL4,Mid-size,65,1.5,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8.4,8.8,8.6,420,139,9,3
2019,Mitsubishi,Outlander PHEV AWD,SUV: Small,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7
2019,Porsche,Cayenne E-Hybrid,SUV: Standard,99,3.0,6,AS8,B,5.1 (44.8 kWh/100 km),21,3,Z,11.8,10.5,11.2,669,177,7,3
2019,Porsche,Panamera 4 E-Hybrid,Full-size,70,2.9,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11.1,9.7,10.5,768,158,8,5
2019,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4.0,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12.3,10.6,11.5,695,180,7,3
2019,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7
2019,Volvo,S90 T8 AWD,Mid-size,65,2.0,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8.9,7.1,8.1,753,100,10,7
2019,Volvo,XC60 T8 AWD,SUV: Small,65,2.0,4,AS8,B/Z*,3.8 ([34.0 kWh + 0.0 L]/100 km),27,3,Z,9.5,8.5,9.0,779,128,9,7
2019,Volvo,XC90 T8 AWD,SUV: Standard,65,2.0,4,AS8,B/Z*,3.9 ([34.3 kWh + 0.0 L]/100 km),27,3,Z,9.8,8.7,9.3,756,132,9,7
2020,Audi,Q5 TFSIe,SUV: Small,105,2.0,4,AM7,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),32,2.4,Z,9.5,8.1,8.9,615,103,10,7
2020,Bentley,Bentayga Hybrid,SUV: Standard,100,3.0,6,AS8,B/Z,5.2 ([44.2 kWh + 0.3 L]/100 km),29,3,Z,13.6,11.3,12.6,602,153,8,3
2020,BMW,530e,Compact,83,2.0,4,AS8,B/Z*,3.4 ([29.1 kWh + 0.0 L]/100 km),34,3,Z,9.5,7.7,8.7,533,106,10,7
2020,BMW,530e xDrive,Compact,83,2.0,4,AS8,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),31,3,Z,10.3,8.1,9.3,500,120,10,7
2020,BMW,745Le xDrive,Full-size,83,3.0,6,AS8,B/Z*,4.2 ([37.7 kWh + 0.0 L]/100 km),26,3,Z,12.2,9.1,10.8,435,152,8,3
2020,BMW,i3 REx (120 Ah),Subcompact,125,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7
2020,BMW,i3s REx (120 Ah),Subcompact,135,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7
2020,BMW,i8 Coupe,Subcompact,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3
2020,BMW,i8 Roadster,Two-seater,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3
2020,BMW,X3 xDrive30e,SUV: Small,80,2.0,4,AS8,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,9,7
2020,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7
2020,Ford,Escape Plug-in Hybrid,SUV: Small,62,2.5,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),60,3.3,X,5.4,6.2,5.8,790,48,10,7
2020,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2.6,X,5.5,5.8,5.6,940,61,10,7
